area,ethnicity,age_group,sex,value
Auckland,European/MELAA,0-4,F,222
Auckland,European/Other Ethnicity,0-4,M,57
Auckland,European/Other Ethnicity,0-4,F,48
Auckland,Maori/Pacific Peoples,0-4,M,1329
Auckland,Maori/Pacific Peoples,0-4,F,1296
Auckland,Maori/Asian,0-4,M,90
Auckland,Maori/Asian,0-4,F,75
Auckland,Maori/MELAA,0-4,M,15
Auckland,Maori/MELAA,0-4,F,21
Auckland,Maori/Other Ethnicity,0-4,M,6
Auckland,Maori/Other Ethnicity,0-4,F,6
Auckland,Pacific Peoples/Asian,0-4,M,270
Auckland,Pacific Peoples/Asian,0-4,F,255
Auckland,Pacific Peoples/MELAA,0-4,M,27
Auckland,Pacific Peoples/MELAA,0-4,F,36
Auckland,Pacific Peoples/Other Ethnicity,0-4,M,12
Auckland,Pacific Peoples/Other Ethnicity,0-4,F,6
Auckland,Asian/MELAA,0-4,M,45
Auckland,Asian/MELAA,0-4,F,42
Auckland,Asian/Other Ethnicity,0-4,M,72
Auckland,Asian/Other Ethnicity,0-4,F,78
Auckland,MELAA/Other Ethnicity,0-4,M,18
Auckland,MELAA/Other Ethnicity,0-4,F,9
Auckland,European/Maori/Pacific Peoples,0-4,M,1449
Auckland,European/Maori/Pacific Peoples,0-4,F,1269
Auckland,European/Maori/Asian,0-4,M,216
Auckland,European/Maori/Asian,0-4,F,231
Auckland,European/Maori/MELAA,0-4,M,54
Auckland,European/Maori/MELAA,0-4,F,42
Auckland,European/Maori/Other Ethnicity,0-4,M,6
Auckland,European/Maori/Other Ethnicity,0-4,F,6
Auckland,European/MELAA/Other Ethnicity,0-4,M,3
Auckland,Pacific Peoples/European/Asian,0-4,M,132
Auckland,Pacific Peoples/European/Asian,0-4,F,135
Auckland,Pacific Peoples/European/MELAA,0-4,M,15
Auckland,Pacific Peoples/European/MELAA,0-4,F,24
Auckland,Pacific Peoples/European/Other Ethnicity,0-4,M,3
Auckland,Pacific Peoples/European/Other Ethnicity,0-4,F,6
Auckland,Asian/MELAA/European,0-4,M,6
Auckland,Asian/MELAA/European,0-4,F,9
Auckland,Asian/European/Other Ethnicity,0-4,M,15
Auckland,Asian/European/Other Ethnicity,0-4,F,12
Auckland,Maori/Pacific Peoples/Asian,0-4,M,54
Auckland,Maori/Pacific Peoples/Asian,0-4,F,54
Auckland,Maori/Pacific Peoples/MELAA,0-4,M,9
Auckland,Maori/Pacific Peoples/MELAA,0-4,F,6
Auckland,Maori/Asian/MELAA,0-4,M,3
Auckland,Asian/Pacific Peoples/Other Ethnicity,0-4,F,3
Auckland,Four ethnic groups,0-4,M,111
Auckland,Four ethnic groups,0-4,F,135
Auckland,Five ethnic groups,0-4,M,3
Auckland,Not Elsewhere Included,0-4,M,2859
Auckland,Not Elsewhere Included,0-4,F,3018
Waikato,European,0-4,M,7194
Waikato,European,0-4,F,6837
Waikato,Maori,0-4,M,1953
Waikato,Maori,0-4,F,1869
Waikato,Pacific Peoples,0-4,M,324
Waikato,Pacific Peoples,0-4,F,309
Waikato,Asian,0-4,M,870
Waikato,Asian,0-4,F,792
Waikato,MELAA,0-4,M,156
Waikato,MELAA,0-4,F,135
Waikato,Other,0-4,M,165
Waikato,Other,0-4,F,171
Waikato,European/Maori,0-4,M,2562
Waikato,European/Maori,0-4,F,2373
Waikato,European/Pacific Peoples,0-4,M,204
Waikato,European/Pacific Peoples,0-4,F,189
Waikato,European/Asian,0-4,M,207
Waikato,European/Asian,0-4,F,180
Waikato,European/MELAA,0-4,M,36
Waikato,European/MELAA,0-4,F,33
Waikato,European/Other Ethnicity,0-4,M,24
Waikato,European/Other Ethnicity,0-4,F,24
Waikato,Maori/Pacific Peoples,0-4,M,249
Waikato,Maori/Pacific Peoples,0-4,F,204
Waikato,Maori/Asian,0-4,M,24
Waikato,Maori/Asian,0-4,F,21
Waikato,Maori/MELAA,0-4,M,6
Waikato,Maori/MELAA,0-4,F,3
Waikato,Pacific Peoples/Asian,0-4,M,12
Waikato,Pacific Peoples/Asian,0-4,F,9
Waikato,Pacific Peoples/MELAA,0-4,M,3
Waikato,Pacific Peoples/Other Ethnicity,0-4,F,3
Waikato,Asian/Other Ethnicity,0-4,M,9
Waikato,Asian/Other Ethnicity,0-4,F,9
Waikato,MELAA/Other Ethnicity,0-4,M,3
Waikato,MELAA/Other Ethnicity,0-4,F,6
Waikato,European/Maori/Pacific Peoples,0-4,M,324
Waikato,European/Maori/Pacific Peoples,0-4,F,303
Waikato,European/Maori/Asian,0-4,M,57
Waikato,European/Maori/Asian,0-4,F,60
Waikato,European/Maori/MELAA,0-4,M,9
Waikato,European/Maori/MELAA,0-4,F,18
Waikato,European/Maori/Other Ethnicity,0-4,M,6
Waikato,European/Maori/Other Ethnicity,0-4,F,12
Waikato,Pacific Peoples/European/Asian,0-4,M,12
Waikato,Pacific Peoples/European/Asian,0-4,F,6
Waikato,Pacific Peoples/European/Other Ethnicity,0-4,M,3
Waikato,Pacific Peoples/European/Other Ethnicity,0-4,F,3
Waikato,Asian/MELAA/European,0-4,F,3
Waikato,Asian/European/Other Ethnicity,0-4,M,3
Waikato,Asian/European/Other Ethnicity,0-4,F,3
Waikato,Maori/Pacific Peoples/Asian,0-4,M,3
Waikato,Maori/Pacific Peoples/Asian,0-4,F,3
Waikato,Four ethnic groups,0-4,M,18
Waikato,Four ethnic groups,0-4,F,30
Waikato,Five ethnic groups,0-4,M,3
Waikato,Not Elsewhere Included,0-4,M,717
Waikato,Not Elsewhere Included,0-4,F,741
Bay of Plenty,European,0-4,M,4074
Bay of Plenty,European,0-4,F,3879
Bay of Plenty,Maori,0-4,M,1746
Bay of Plenty,Maori,0-4,F,1620
Bay of Plenty,Pacific Peoples,0-4,M,171
Bay of Plenty,Pacific Peoples,0-4,F,132
Bay of Plenty,Asian,0-4,M,429
Bay of Plenty,Asian,0-4,F,354
Bay of Plenty,MELAA,0-4,M,27
Bay of Plenty,MELAA,0-4,F,15
Bay of Plenty,Other,0-4,M,105
Bay of Plenty,Other,0-4,F,99
Bay of Plenty,European/Maori,0-4,M,1728
Bay of Plenty,European/Maori,0-4,F,1647
Bay of Plenty,European/Pacific Peoples,0-4,M,75
Bay of Plenty,European/Pacific Peoples,0-4,F,114
Bay of Plenty,European/Asian,0-4,M,84
Bay of Plenty,European/Asian,0-4,F,72
Bay of Plenty,European/MELAA,0-4,M,24
Bay of Plenty,European/MELAA,0-4,F,21
Bay of Plenty,European/Other Ethnicity,0-4,M,3
Bay of Plenty,European/Other Ethnicity,0-4,F,9
Bay of Plenty,Maori/Pacific Peoples,0-4,M,165
Bay of Plenty,Maori/Pacific Peoples,0-4,F,180
Bay of Plenty,Maori/Asian,0-4,M,33
Bay of Plenty,Maori/Asian,0-4,F,27
Bay of Plenty,Maori/MELAA,0-4,M,3
Bay of Plenty,Maori/MELAA,0-4,F,6
Bay of Plenty,Maori/Other Ethnicity,0-4,M,3
Bay of Plenty,Maori/Other Ethnicity,0-4,F,3
Bay of Plenty,Pacific Peoples/Asian,0-4,M,3
Bay of Plenty,Pacific Peoples/Asian,0-4,F,3
Bay of Plenty,Asian/MELAA,0-4,M,3
Bay of Plenty,Asian/Other Ethnicity,0-4,M,3
Bay of Plenty,Asian/Other Ethnicity,0-4,F,3
Bay of Plenty,MELAA/Other Ethnicity,0-4,F,6
Bay of Plenty,European/Maori/Pacific Peoples,0-4,M,198
Bay of Plenty,European/Maori/Pacific Peoples,0-4,F,156
Bay of Plenty,European/Maori/Asian,0-4,M,48
Bay of Plenty,European/Maori/Asian,0-4,F,39
Bay of Plenty,European/Maori/MELAA,0-4,M,9
Bay of Plenty,European/Maori/MELAA,0-4,F,12
Bay of Plenty,European/Maori/Other Ethnicity,0-4,M,6
Bay of Plenty,European/Maori/Other Ethnicity,0-4,F,3
Bay of Plenty,Pacific Peoples/European/Asian,0-4,M,3
Bay of Plenty,Pacific Peoples/European/Asian,0-4,F,3
Bay of Plenty,Pacific Peoples/European/MELAA,0-4,F,3
Bay of Plenty,Asian/European/Other Ethnicity,0-4,M,3
Bay of Plenty,Asian/European/Other Ethnicity,0-4,F,3
Bay of Plenty,Maori/Pacific Peoples/Asian,0-4,M,6
Bay of Plenty,Maori/Pacific Peoples/Asian,0-4,F,6
Bay of Plenty,Maori/Asian/MELAA,0-4,F,3
Bay of Plenty,Pacific Peoples/Maori/Other Ethnicity,0-4,M,3
Bay of Plenty,Four ethnic groups,0-4,M,18
Bay of Plenty,Four ethnic groups,0-4,F,12
Bay of Plenty,Not Elsewhere Included,0-4,M,606
Bay of Plenty,Not Elsewhere Included,0-4,F,627
Gisborne,European,0-4,M,447
Gisborne,European,0-4,F,435
Gisborne,Maori,0-4,M,591
Gisborne,Maori,0-4,F,549
Gisborne,Pacific Peoples,0-4,M,36
Gisborne,Pacific Peoples,0-4,F,27
Gisborne,Asian,0-4,M,27
Gisborne,Asian,0-4,F,27
Gisborne,MELAA,0-4,M,3
Gisborne,MELAA,0-4,F,3
Gisborne,Other,0-4,M,6
Gisborne,Other,0-4,F,9
Gisborne,European/Maori,0-4,M,387
Gisborne,European/Maori,0-4,F,399
Gisborne,European/Pacific Peoples,0-4,M,3
Gisborne,European/Asian,0-4,M,15
Gisborne,European/Asian,0-4,F,9
Gisborne,European/MELAA,0-4,M,3
Gisborne,European/MELAA,0-4,F,6
Gisborne,European/Other Ethnicity,0-4,F,3
Gisborne,Maori/Pacific Peoples,0-4,M,45
Gisborne,Maori/Pacific Peoples,0-4,F,48
Gisborne,Maori/Asian,0-4,M,6
Gisborne,Maori/Asian,0-4,F,9
Gisborne,Maori/MELAA,0-4,M,3
Gisborne,European/Maori/Pacific Peoples,0-4,M,33
Gisborne,European/Maori/Pacific Peoples,0-4,F,33
Gisborne,European/Maori/Asian,0-4,M,6
Gisborne,European/Maori/Asian,0-4,F,6
Gisborne,European/Maori/Other Ethnicity,0-4,F,3
Gisborne,Pacific Peoples/European/Other Ethnicity,0-4,F,3
Gisborne,Asian/MELAA/European,0-4,M,3
Gisborne,Maori/Pacific Peoples/Asian,0-4,M,3
Gisborne,Four ethnic groups,0-4,F,3
Gisborne,Not Elsewhere Included,0-4,M,132
Gisborne,Not Elsewhere Included,0-4,F,153
Hawke's Bay,European,0-4,M,2484
Hawke's Bay,European,0-4,F,2448
Hawke's Bay,Maori,0-4,M,900
Hawke's Bay,Maori,0-4,F,918
Hawke's Bay,Pacific Peoples,0-4,M,180
Hawke's Bay,Pacific Peoples,0-4,F,174
Hawke's Bay,Asian,0-4,M,138
Hawke's Bay,Asian,0-4,F,153
Hawke's Bay,MELAA,0-4,M,18
Hawke's Bay,MELAA,0-4,F,24
Hawke's Bay,Other,0-4,M,75
Hawke's Bay,Other,0-4,F,60
Hawke's Bay,European/Maori,0-4,M,969
Hawke's Bay,European/Maori,0-4,F,945
Hawke's Bay,European/Pacific Peoples,0-4,M,72
Hawke's Bay,European/Pacific Peoples,0-4,F,66
Hawke's Bay,European/Asian,0-4,M,51
Hawke's Bay,European/Asian,0-4,F,45
Hawke's Bay,European/MELAA,0-4,M,9
Hawke's Bay,European/MELAA,0-4,F,18
Hawke's Bay,European/Other Ethnicity,0-4,M,6
Hawke's Bay,European/Other Ethnicity,0-4,F,12
Hawke's Bay,Maori/Pacific Peoples,0-4,M,87
Hawke's Bay,Maori/Pacific Peoples,0-4,F,81
Hawke's Bay,Maori/Asian,0-4,M,12
Hawke's Bay,Maori/Asian,0-4,F,9
Hawke's Bay,Maori/MELAA,0-4,M,3
Hawke's Bay,Maori/MELAA,0-4,F,6
Hawke's Bay,Maori/Other Ethnicity,0-4,M,3
Hawke's Bay,Maori/Other Ethnicity,0-4,F,6
Hawke's Bay,Pacific Peoples/Asian,0-4,M,3
Hawke's Bay,Pacific Peoples/Asian,0-4,F,3
Hawke's Bay,Asian/MELAA,0-4,F,3
Hawke's Bay,Asian/Other Ethnicity,0-4,F,3
Hawke's Bay,European/Maori/Pacific Peoples,0-4,M,93
Hawke's Bay,European/Maori/Pacific Peoples,0-4,F,108
Hawke's Bay,European/Maori/Asian,0-4,M,18
Hawke's Bay,European/Maori/Asian,0-4,F,21
Hawke's Bay,European/Maori/MELAA,0-4,M,6
Hawke's Bay,European/Maori/MELAA,0-4,F,6
Hawke's Bay,European/Maori/Other Ethnicity,0-4,F,3
Hawke's Bay,Pacific Peoples/European/Asian,0-4,F,3
Hawke's Bay,Asian/MELAA/European,0-4,F,3
Hawke's Bay,Maori/Pacific Peoples/Asian,0-4,M,3
Hawke's Bay,Four ethnic groups,0-4,M,6
Hawke's Bay,Four ethnic groups,0-4,F,3
Hawke's Bay,Not Elsewhere Included,0-4,M,321
Hawke's Bay,Not Elsewhere Included,0-4,F,312
Taranaki,European,0-4,M,2373
Taranaki,European,0-4,F,2289
Taranaki,Maori,0-4,M,321
Taranaki,Maori,0-4,F,318
Taranaki,Pacific Peoples,0-4,M,33
Taranaki,Pacific Peoples,0-4,F,27
Taranaki,Asian,0-4,M,120
Taranaki,Asian,0-4,F,111
Taranaki,MELAA,0-4,M,15
Taranaki,MELAA,0-4,F,15
Taranaki,Other,0-4,M,57
Taranaki,Other,0-4,F,39
Taranaki,European/Maori,0-4,M,732
Taranaki,European/Maori,0-4,F,690
Taranaki,European/Pacific Peoples,0-4,M,21
Taranaki,European/Pacific Peoples,0-4,F,27
Taranaki,European/Asian,0-4,M,36
Taranaki,European/Asian,0-4,F,48
Taranaki,European/MELAA,0-4,M,12
Taranaki,European/MELAA,0-4,F,9
Taranaki,European/Other Ethnicity,0-4,M,3
Taranaki,European/Other Ethnicity,0-4,F,6
Taranaki,Maori/Pacific Peoples,0-4,M,21
Taranaki,Maori/Pacific Peoples,0-4,F,27
Taranaki,Maori/Asian,0-4,M,3
Taranaki,Maori/Asian,0-4,F,3
Taranaki,Maori/Other Ethnicity,0-4,M,6
Taranaki,Pacific Peoples/Other Ethnicity,0-4,F,3
Taranaki,Asian/Other Ethnicity,0-4,M,6
Taranaki,Asian/Other Ethnicity,0-4,F,3
Taranaki,European/Maori/Pacific Peoples,0-4,M,63
Taranaki,European/Maori/Pacific Peoples,0-4,F,54
Taranaki,European/Maori/Asian,0-4,M,12
Taranaki,European/Maori/Asian,0-4,F,12
Taranaki,European/Maori/Other Ethnicity,0-4,M,3
Taranaki,European/Maori/Other Ethnicity,0-4,F,3
Taranaki,Pacific Peoples/European/Asian,0-4,F,3
Taranaki,Asian/MELAA/European,0-4,M,3
Taranaki,Maori/Pacific Peoples/Asian,0-4,F,3
Taranaki,Four ethnic groups,0-4,F,3
Taranaki,Not Elsewhere Included,0-4,M,165
Taranaki,Not Elsewhere Included,0-4,F,174
Manawatu-Wanganui,European,0-4,M,3870
Manawatu-Wanganui,European,0-4,F,3675
Manawatu-Wanganui,Maori,0-4,M,822
Manawatu-Wanganui,Maori,0-4,F,849
Manawatu-Wanganui,Pacific Peoples,0-4,M,186
Manawatu-Wanganui,Pacific Peoples,0-4,F,183
Manawatu-Wanganui,Asian,0-4,M,306
Manawatu-Wanganui,Asian,0-4,F,294
Manawatu-Wanganui,MELAA,0-4,M,33
Manawatu-Wanganui,MELAA,0-4,F,30
Manawatu-Wanganui,Other,0-4,M,93
Manawatu-Wanganui,Other,0-4,F,102
Manawatu-Wanganui,European/Maori,0-4,M,1467
Manawatu-Wanganui,European/Maori,0-4,F,1470
Manawatu-Wanganui,European/Pacific Peoples,0-4,M,126
Manawatu-Wanganui,European/Pacific Peoples,0-4,F,120
Manawatu-Wanganui,European/Asian,0-4,M,90
Manawatu-Wanganui,European/Asian,0-4,F,84
Manawatu-Wanganui,European/MELAA,0-4,M,12
Manawatu-Wanganui,European/MELAA,0-4,F,18
Manawatu-Wanganui,European/Other Ethnicity,0-4,M,12
Manawatu-Wanganui,European/Other Ethnicity,0-4,F,18
Manawatu-Wanganui,Maori/Pacific Peoples,0-4,M,87
Manawatu-Wanganui,Maori/Pacific Peoples,0-4,F,84
Manawatu-Wanganui,Maori/Asian,0-4,M,9
Manawatu-Wanganui,Maori/Asian,0-4,F,6
Manawatu-Wanganui,Maori/Other Ethnicity,0-4,M,3
Manawatu-Wanganui,Pacific Peoples/Asian,0-4,M,3
Manawatu-Wanganui,Pacific Peoples/Asian,0-4,F,3
Manawatu-Wanganui,Pacific Peoples/MELAA,0-4,M,3
Manawatu-Wanganui,Pacific Peoples/MELAA,0-4,F,3
Manawatu-Wanganui,Asian/MELAA,0-4,M,3
Manawatu-Wanganui,Asian/Other Ethnicity,0-4,M,6
Manawatu-Wanganui,Asian/Other Ethnicity,0-4,F,3
Manawatu-Wanganui,MELAA/Other Ethnicity,0-4,F,3
Manawatu-Wanganui,European/Maori/Pacific Peoples,0-4,M,180
Manawatu-Wanganui,European/Maori/Pacific Peoples,0-4,F,135
Manawatu-Wanganui,European/Maori/Asian,0-4,M,27
Manawatu-Wanganui,European/Maori/Asian,0-4,F,30
Manawatu-Wanganui,European/Maori/MELAA,0-4,M,6
Manawatu-Wanganui,European/Maori/Other Ethnicity,0-4,M,3
Manawatu-Wanganui,European/Maori/Other Ethnicity,0-4,F,3
Manawatu-Wanganui,European/MELAA/Other Ethnicity,0-4,F,3
Manawatu-Wanganui,Pacific Peoples/European/Asian,0-4,M,9
Manawatu-Wanganui,Pacific Peoples/European/Asian,0-4,F,6
Manawatu-Wanganui,Asian/MELAA/European,0-4,F,3
Manawatu-Wanganui,Asian/European/Other Ethnicity,0-4,M,3
Manawatu-Wanganui,Maori/Pacific Peoples/Asian,0-4,M,3
Manawatu-Wanganui,Four ethnic groups,0-4,M,9
Manawatu-Wanganui,Four ethnic groups,0-4,F,3
Manawatu-Wanganui,Not Elsewhere Included,0-4,M,372
Manawatu-Wanganui,Not Elsewhere Included,0-4,F,393
Wellington,European,0-4,M,8136
Wellington,European,0-4,F,7926
Wellington,Maori,0-4,M,723
Wellington,Maori,0-4,F,684
Wellington,Pacific Peoples,0-4,M,870
Wellington,Pacific Peoples,0-4,F,873
Wellington,Asian,0-4,M,1278
Wellington,Asian,0-4,F,1191
Wellington,MELAA,0-4,M,213
Wellington,MELAA,0-4,F,195
Wellington,Other,0-4,M,171
Wellington,Other,0-4,F,183
Wellington,European/Maori,0-4,M,1866
Wellington,European/Maori,0-4,F,1758
Wellington,European/Pacific Peoples,0-4,M,468
Wellington,European/Pacific Peoples,0-4,F,456
Wellington,European/Asian,0-4,M,396
Wellington,European/Asian,0-4,F,399
Wellington,European/MELAA,0-4,M,93
Wellington,European/MELAA,0-4,F,75
Wellington,European/Other Ethnicity,0-4,M,30
Wellington,European/Other Ethnicity,0-4,F,27
Wellington,Maori/Pacific Peoples,0-4,M,273
Wellington,Maori/Pacific Peoples,0-4,F,234
Wellington,Maori/Asian,0-4,M,36
Wellington,Maori/Asian,0-4,F,21
Wellington,Maori/MELAA,0-4,M,3
Wellington,Maori/MELAA,0-4,F,3
Wellington,Maori/Other Ethnicity,0-4,M,6
Wellington,Maori/Other Ethnicity,0-4,F,9
Wellington,Pacific Peoples/Asian,0-4,M,27
Wellington,Pacific Peoples/Asian,0-4,F,33
Wellington,Pacific Peoples/MELAA,0-4,M,6
Wellington,Pacific Peoples/MELAA,0-4,F,6
Wellington,Pacific Peoples/Other Ethnicity,0-4,M,3
Wellington,Pacific Peoples/Other Ethnicity,0-4,F,9
Wellington,Asian/MELAA,0-4,M,6
Wellington,Asian/MELAA,0-4,F,3
Wellington,Asian/Other Ethnicity,0-4,M,27
Wellington,Asian/Other Ethnicity,0-4,F,30
Wellington,MELAA/Other Ethnicity,0-4,M,15
Wellington,MELAA/Other Ethnicity,0-4,F,9
Wellington,European/Maori/Pacific Peoples,0-4,M,417
Wellington,European/Maori/Pacific Peoples,0-4,F,438
Wellington,European/Maori/Asian,0-4,M,69
Wellington,European/Maori/Asian,0-4,F,69
Wellington,European/Maori/MELAA,0-4,M,9
Wellington,European/Maori/MELAA,0-4,F,9
Wellington,European/Maori/Other Ethnicity,0-4,M,6
Wellington,European/Maori/Other Ethnicity,0-4,F,6
Wellington,Pacific Peoples/European/Asian,0-4,M,33
Wellington,Pacific Peoples/European/Asian,0-4,F,33
Wellington,Pacific Peoples/European/MELAA,0-4,M,6
Wellington,Pacific Peoples/European/MELAA,0-4,F,6
Wellington,Asian/MELAA/European,0-4,M,3
Wellington,Asian/European/Other Ethnicity,0-4,M,6
Wellington,Asian/European/Other Ethnicity,0-4,F,3
Wellington,Maori/Pacific Peoples/Asian,0-4,M,6
Wellington,Maori/Pacific Peoples/Asian,0-4,F,12
Wellington,Maori/Pacific Peoples/MELAA,0-4,F,3
Wellington,Asian/MELAA/Other Ethnicity,0-4,F,3
Wellington,Four ethnic groups,0-4,M,27
Wellington,Four ethnic groups,0-4,F,21
Wellington,Five ethnic groups,0-4,M,3
Wellington,Not Elsewhere Included,0-4,M,672
Wellington,Not Elsewhere Included,0-4,F,726
Tasman,European,0-4,M,1059
Tasman,European,0-4,F,1017
Tasman,Maori,0-4,M,39
Tasman,Maori,0-4,F,33
Tasman,Pacific Peoples,0-4,M,6
Tasman,Pacific Peoples,0-4,F,3
Tasman,Asian,0-4,M,15
Tasman,Asian,0-4,F,15
Tasman,MELAA,0-4,F,3
Tasman,Other,0-4,M,24
Tasman,Other,0-4,F,15
Tasman,European/Maori,0-4,M,135
Tasman,European/Maori,0-4,F,138
Tasman,European/Pacific Peoples,0-4,M,21
Tasman,European/Pacific Peoples,0-4,F,21
Tasman,European/Asian,0-4,M,21
Tasman,European/Asian,0-4,F,21
Tasman,European/MELAA,0-4,M,6
Tasman,European/MELAA,0-4,F,3
Tasman,European/Other Ethnicity,0-4,M,3
Tasman,European/Other Ethnicity,0-4,F,3
Tasman,Maori/Pacific Peoples,0-4,M,3
Tasman,Asian/Other Ethnicity,0-4,M,3
Tasman,European/Maori/Pacific Peoples,0-4,M,9
Tasman,European/Maori/Pacific Peoples,0-4,F,3
Tasman,European/Maori/Asian,0-4,M,3
Tasman,European/Maori/Asian,0-4,F,6
Tasman,Pacific Peoples/European/Asian,0-4,F,3
Tasman,Not Elsewhere Included,0-4,M,48
Tasman,Not Elsewhere Included,0-4,F,45
Nelson,European,0-4,M,984
Nelson,European,0-4,F,915
Nelson,Maori,0-4,M,66
Nelson,Maori,0-4,F,60
Nelson,Pacific Peoples,0-4,M,21
Nelson,Pacific Peoples,0-4,F,15
Nelson,Asian,0-4,M,75
Nelson,Asian,0-4,F,66
Nelson,MELAA,0-4,M,3
Nelson,MELAA,0-4,F,3
Nelson,Other,0-4,M,27
Nelson,Other,0-4,F,21
Nelson,European/Maori,0-4,M,165
Nelson,European/Maori,0-4,F,153
Nelson,European/Pacific Peoples,0-4,M,15
Nelson,European/Pacific Peoples,0-4,F,18
Nelson,European/Asian,0-4,M,27
Nelson,European/Asian,0-4,F,30
Nelson,European/MELAA,0-4,M,6
Nelson,European/MELAA,0-4,F,6
Nelson,European/Other Ethnicity,0-4,M,3
Nelson,European/Other Ethnicity,0-4,F,3
Nelson,Maori/Pacific Peoples,0-4,M,6
Nelson,Maori/Pacific Peoples,0-4,F,6
Nelson,MELAA/Other Ethnicity,0-4,M,3
Nelson,European/Maori/Pacific Peoples,0-4,M,12
Nelson,European/Maori/Pacific Peoples,0-4,F,12
Nelson,European/Maori/MELAA,0-4,M,3
Nelson,Pacific Peoples/European/Asian,0-4,F,3
Nelson,Not Elsewhere Included,0-4,M,51
Nelson,Not Elsewhere Included,0-4,F,48
Marlborough,European,0-4,M,852
Marlborough,European,0-4,F,873
Marlborough,Maori,0-4,M,63
Marlborough,Maori,0-4,F,54
Marlborough,Pacific Peoples,0-4,M,27
Marlborough,Pacific Peoples,0-4,F,27
Marlborough,Asian,0-4,M,30
Marlborough,Asian,0-4,F,21
Marlborough,MELAA,0-4,M,3
Marlborough,MELAA,0-4,F,6
Marlborough,Other,0-4,M,24
Marlborough,Other,0-4,F,27
Marlborough,European/Maori,0-4,M,201
Marlborough,European/Maori,0-4,F,204
Marlborough,European/Pacific Peoples,0-4,M,21
Marlborough,European/Pacific Peoples,0-4,F,24
Marlborough,European/Asian,0-4,M,15
Marlborough,European/Asian,0-4,F,15
Marlborough,European/MELAA,0-4,M,6
Marlborough,European/MELAA,0-4,F,3
Marlborough,European/Other Ethnicity,0-4,F,3
Marlborough,Maori/Pacific Peoples,0-4,M,3
Marlborough,Maori/Pacific Peoples,0-4,F,12
Marlborough,Maori/Asian,0-4,M,3
Marlborough,Maori/Other Ethnicity,0-4,F,3
Marlborough,Asian/Other Ethnicity,0-4,M,3
Marlborough,Asian/Other Ethnicity,0-4,F,3
Marlborough,MELAA/Other Ethnicity,0-4,M,3
Marlborough,European/Maori/Pacific Peoples,0-4,M,18
Marlborough,European/Maori/Pacific Peoples,0-4,F,18
Marlborough,European/Maori/Asian,0-4,F,6
Marlborough,European/MELAA/Other Ethnicity,0-4,F,3
Marlborough,Not Elsewhere Included,0-4,M,48
Marlborough,Not Elsewhere Included,0-4,F,54
West Coast,European,0-4,M,756
West Coast,European,0-4,F,762
