Area,Ethnic groups (detailed),Age group,Sex,Value,Flags
"Northland Region","European/Maori/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","European/Maori/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","European/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","European/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Pacific Peoples/European/Asian","0-4 Years","Male",0,
"Northland Region","Pacific Peoples/European/Asian","0-4 Years","Female",3,
"Northland Region","Pacific Peoples/European/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Northland Region","Pacific Peoples/European/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Northland Region","Pacific Peoples/European/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Pacific Peoples/European/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Asian/Middle Eastern/Latin American/African/European","0-4 Years","Male",0,
"Northland Region","Asian/Middle Eastern/Latin American/African/European","0-4 Years","Female",0,
"Northland Region","Asian/European/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Asian/European/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Maori/Pacific Peoples/Asian","0-4 Years","Male",3,
"Northland Region","Maori/Pacific Peoples/Asian","0-4 Years","Female",6,
"Northland Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",3,
"Northland Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",3,
"Northland Region","Maori/Asian/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Northland Region","Maori/Asian/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Northland Region","Maori/Asian/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Maori/Asian/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Pacific Peoples/Maori/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Pacific Peoples/Maori/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Northland Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Northland Region","Asian/Pacific Peoples/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Asian/Pacific Peoples/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Northland Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Northland Region","Four ethnic groups","0-4 Years","Male",3,
"Northland Region","Four ethnic groups","0-4 Years","Female",6,
"Northland Region","Five ethnic groups","0-4 Years","Male",3,
"Northland Region","Five ethnic groups","0-4 Years","Female",0,
"Northland Region","Six ethnic groups","0-4 Years","Male",0,
"Northland Region","Six ethnic groups","0-4 Years","Female",0,
"Northland Region","Not Elsewhere Included","0-4 Years","Male",495,
"Northland Region","Not Elsewhere Included","0-4 Years","Female",501,
"Auckland Region","European Only","0-4 Years","Male",19113,
"Auckland Region","European Only","0-4 Years","Female",18108,
"Auckland Region","Maori Only","0-4 Years","Male",2004,
"Auckland Region","Maori Only","0-4 Years","Female",1860,
"Auckland Region","Pacific Peoples Only","0-4 Years","Male",7245,
"Auckland Region","Pacific Peoples Only","0-4 Years","Female",6819,
"Auckland Region","Asian Only","0-4 Years","Male",9171,
"Auckland Region","Asian Only","0-4 Years","Female",8649,
"Auckland Region","Middle Eastern/Latin American/African Only","0-4 Years","Male",765,
"Auckland Region","Middle Eastern/Latin American/African Only","0-4 Years","Female",735,
"Auckland Region","Other Ethnicity Only","0-4 Years","Male",435,
"Auckland Region","Other Ethnicity Only","0-4 Years","Female",399,
"Auckland Region","European/Maori","0-4 Years","Male",3696,
"Auckland Region","European/Maori","0-4 Years","Female",3486,
"Auckland Region","European/Pacific Peoples","0-4 Years","Male",1689,
"Auckland Region","European/Pacific Peoples","0-4 Years","Female",1587,
"Auckland Region","European/Asian","0-4 Years","Male",1230,
"Auckland Region","European/Asian","0-4 Years","Female",1221,
"Auckland Region","European/Middle Eastern/Latin American/African","0-4 Years","Male",213,
"Auckland Region","European/Middle Eastern/Latin American/African","0-4 Years","Female",222,
"Auckland Region","European/Other Ethnicity","0-4 Years","Male",57,
"Auckland Region","European/Other Ethnicity","0-4 Years","Female",48,
"Auckland Region","Maori/Pacific Peoples","0-4 Years","Male",1329,
"Auckland Region","Maori/Pacific Peoples","0-4 Years","Female",1296,
"Auckland Region","Maori/Asian","0-4 Years","Male",90,
"Auckland Region","Maori/Asian","0-4 Years","Female",75,
"Auckland Region","Maori/Middle Eastern/Latin American/African","0-4 Years","Male",15,
"Auckland Region","Maori/Middle Eastern/Latin American/African","0-4 Years","Female",21,
"Auckland Region","Maori/Other Ethnicity","0-4 Years","Male",6,
"Auckland Region","Maori/Other Ethnicity","0-4 Years","Female",6,
"Auckland Region","Pacific Peoples/Asian","0-4 Years","Male",270,
"Auckland Region","Pacific Peoples/Asian","0-4 Years","Female",255,
"Auckland Region","Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",27,
"Auckland Region","Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",36,
"Auckland Region","Pacific Peoples/Other Ethnicity","0-4 Years","Male",12,
"Auckland Region","Pacific Peoples/Other Ethnicity","0-4 Years","Female",6,
"Auckland Region","Asian/Middle Eastern/Latin American/African","0-4 Years","Male",45,
"Auckland Region","Asian/Middle Eastern/Latin American/African","0-4 Years","Female",42,
"Auckland Region","Asian/Other Ethnicity","0-4 Years","Male",72,
"Auckland Region","Asian/Other Ethnicity","0-4 Years","Female",78,
"Auckland Region","Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",18,
"Auckland Region","Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",9,
"Auckland Region","European/Maori/Pacific Peoples","0-4 Years","Male",1449,
"Auckland Region","European/Maori/Pacific Peoples","0-4 Years","Female",1269,
"Auckland Region","European/Maori/Asian","0-4 Years","Male",216,
"Auckland Region","European/Maori/Asian","0-4 Years","Female",231,
"Auckland Region","European/Maori/Middle Eastern/Latin American/African","0-4 Years","Male",54,
"Auckland Region","European/Maori/Middle Eastern/Latin American/African","0-4 Years","Female",42,
"Auckland Region","European/Maori/Other Ethnicity","0-4 Years","Male",6,
"Auckland Region","European/Maori/Other Ethnicity","0-4 Years","Female",6,
"Auckland Region","European/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",3,
"Auckland Region","European/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Auckland Region","Pacific Peoples/European/Asian","0-4 Years","Male",132,
"Auckland Region","Pacific Peoples/European/Asian","0-4 Years","Female",135,
"Auckland Region","Pacific Peoples/European/Middle Eastern/Latin American/African","0-4 Years","Male",15,
"Auckland Region","Pacific Peoples/European/Middle Eastern/Latin American/African","0-4 Years","Female",24,
"Auckland Region","Pacific Peoples/European/Other Ethnicity","0-4 Years","Male",3,
"Auckland Region","Pacific Peoples/European/Other Ethnicity","0-4 Years","Female",6,
"Auckland Region","Asian/Middle Eastern/Latin American/African/European","0-4 Years","Male",6,
"Auckland Region","Asian/Middle Eastern/Latin American/African/European","0-4 Years","Female",9,
"Auckland Region","Asian/European/Other Ethnicity","0-4 Years","Male",15,
"Auckland Region","Asian/European/Other Ethnicity","0-4 Years","Female",12,
"Auckland Region","Maori/Pacific Peoples/Asian","0-4 Years","Male",54,
"Auckland Region","Maori/Pacific Peoples/Asian","0-4 Years","Female",54,
"Auckland Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",9,
"Auckland Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",6,
"Auckland Region","Maori/Asian/Middle Eastern/Latin American/African","0-4 Years","Male",3,
"Auckland Region","Maori/Asian/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Auckland Region","Maori/Asian/Other Ethnicity","0-4 Years","Male",0,
"Auckland Region","Maori/Asian/Other Ethnicity","0-4 Years","Female",0,
"Auckland Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Auckland Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Auckland Region","Pacific Peoples/Maori/Other Ethnicity","0-4 Years","Male",0,
"Auckland Region","Pacific Peoples/Maori/Other Ethnicity","0-4 Years","Female",0,
"Auckland Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Auckland Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Auckland Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Auckland Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Auckland Region","Asian/Pacific Peoples/Other Ethnicity","0-4 Years","Male",0,
"Auckland Region","Asian/Pacific Peoples/Other Ethnicity","0-4 Years","Female",3,
"Auckland Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Auckland Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Auckland Region","Four ethnic groups","0-4 Years","Male",111,
"Auckland Region","Four ethnic groups","0-4 Years","Female",135,
"Auckland Region","Five ethnic groups","0-4 Years","Male",3,
"Auckland Region","Five ethnic groups","0-4 Years","Female",0,
"Auckland Region","Six ethnic groups","0-4 Years","Male",0,
"Auckland Region","Six ethnic groups","0-4 Years","Female",0,
"Auckland Region","Not Elsewhere Included","0-4 Years","Male",2859,
"Auckland Region","Not Elsewhere Included","0-4 Years","Female",3018,
"Waikato Region","European Only","0-4 Years","Male",7194,
"Waikato Region","European Only","0-4 Years","Female",6837,
"Waikato Region","Maori Only","0-4 Years","Male",1953,
"Waikato Region","Maori Only","0-4 Years","Female",1869,
"Waikato Region","Pacific Peoples Only","0-4 Years","Male",324,
"Waikato Region","Pacific Peoples Only","0-4 Years","Female",309,
"Waikato Region","Asian Only","0-4 Years","Male",870,
"Waikato Region","Asian Only","0-4 Years","Female",792,
"Waikato Region","Middle Eastern/Latin American/African Only","0-4 Years","Male",156,
"Waikato Region","Middle Eastern/Latin American/African Only","0-4 Years","Female",135,
"Waikato Region","Other Ethnicity Only","0-4 Years","Male",165,
"Waikato Region","Other Ethnicity Only","0-4 Years","Female",171,
"Waikato Region","European/Maori","0-4 Years","Male",2562,
"Waikato Region","European/Maori","0-4 Years","Female",2373,
"Waikato Region","European/Pacific Peoples","0-4 Years","Male",204,
"Waikato Region","European/Pacific Peoples","0-4 Years","Female",189,
"Waikato Region","European/Asian","0-4 Years","Male",207,
"Waikato Region","European/Asian","0-4 Years","Female",180,
"Waikato Region","European/Middle Eastern/Latin American/African","0-4 Years","Male",36,
"Waikato Region","European/Middle Eastern/Latin American/African","0-4 Years","Female",33,
"Waikato Region","European/Other Ethnicity","0-4 Years","Male",24,
"Waikato Region","European/Other Ethnicity","0-4 Years","Female",24,
"Waikato Region","Maori/Pacific Peoples","0-4 Years","Male",249,
"Waikato Region","Maori/Pacific Peoples","0-4 Years","Female",204,
"Waikato Region","Maori/Asian","0-4 Years","Male",24,
"Waikato Region","Maori/Asian","0-4 Years","Female",21,
"Waikato Region","Maori/Middle Eastern/Latin American/African","0-4 Years","Male",6,
"Waikato Region","Maori/Middle Eastern/Latin American/African","0-4 Years","Female",3,
"Waikato Region","Maori/Other Ethnicity","0-4 Years","Male",0,
"Waikato Region","Maori/Other Ethnicity","0-4 Years","Female",0,
"Waikato Region","Pacific Peoples/Asian","0-4 Years","Male",12,
"Waikato Region","Pacific Peoples/Asian","0-4 Years","Female",9,
"Waikato Region","Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",3,
"Waikato Region","Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Waikato Region","Pacific Peoples/Other Ethnicity","0-4 Years","Male",0,
"Waikato Region","Pacific Peoples/Other Ethnicity","0-4 Years","Female",3,
"Waikato Region","Asian/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Waikato Region","Asian/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Waikato Region","Asian/Other Ethnicity","0-4 Years","Male",9,
"Waikato Region","Asian/Other Ethnicity","0-4 Years","Female",9,
"Waikato Region","Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",3,
"Waikato Region","Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",6,
"Waikato Region","European/Maori/Pacific Peoples","0-4 Years","Male",324,
"Waikato Region","European/Maori/Pacific Peoples","0-4 Years","Female",303,
"Waikato Region","European/Maori/Asian","0-4 Years","Male",57,
"Waikato Region","European/Maori/Asian","0-4 Years","Female",60,
"Waikato Region","European/Maori/Middle Eastern/Latin American/African","0-4 Years","Male",9,
"Waikato Region","European/Maori/Middle Eastern/Latin American/African","0-4 Years","Female",18,
"Waikato Region","European/Maori/Other Ethnicity","0-4 Years","Male",6,
"Waikato Region","European/Maori/Other Ethnicity","0-4 Years","Female",12,
"Waikato Region","European/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Waikato Region","European/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Waikato Region","Pacific Peoples/European/Asian","0-4 Years","Male",12,
"Waikato Region","Pacific Peoples/European/Asian","0-4 Years","Female",6,
"Waikato Region","Pacific Peoples/European/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Waikato Region","Pacific Peoples/European/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Waikato Region","Pacific Peoples/European/Other Ethnicity","0-4 Years","Male",3,
"Waikato Region","Pacific Peoples/European/Other Ethnicity","0-4 Years","Female",3,
"Waikato Region","Asian/Middle Eastern/Latin American/African/European","0-4 Years","Male",0,
"Waikato Region","Asian/Middle Eastern/Latin American/African/European","0-4 Years","Female",3,
"Waikato Region","Asian/European/Other Ethnicity","0-4 Years","Male",3,
"Waikato Region","Asian/European/Other Ethnicity","0-4 Years","Female",3,
"Waikato Region","Maori/Pacific Peoples/Asian","0-4 Years","Male",3,
"Waikato Region","Maori/Pacific Peoples/Asian","0-4 Years","Female",3,
"Waikato Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Waikato Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Waikato Region","Maori/Asian/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Waikato Region","Maori/Asian/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Waikato Region","Maori/Asian/Other Ethnicity","0-4 Years","Male",0,
"Waikato Region","Maori/Asian/Other Ethnicity","0-4 Years","Female",0,
"Waikato Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Waikato Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Waikato Region","Pacific Peoples/Maori/Other Ethnicity","0-4 Years","Male",0,
"Waikato Region","Pacific Peoples/Maori/Other Ethnicity","0-4 Years","Female",0,
"Waikato Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Waikato Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Waikato Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Waikato Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Waikato Region","Asian/Pacific Peoples/Other Ethnicity","0-4 Years","Male",0,
"Waikato Region","Asian/Pacific Peoples/Other Ethnicity","0-4 Years","Female",0,
"Waikato Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Waikato Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Waikato Region","Four ethnic groups","0-4 Years","Male",18,
"Waikato Region","Four ethnic groups","0-4 Years","Female",30,
"Waikato Region","Five ethnic groups","0-4 Years","Male",3,
"Waikato Region","Five ethnic groups","0-4 Years","Female",0,
"Waikato Region","Six ethnic groups","0-4 Years","Male",0,
"Waikato Region","Six ethnic groups","0-4 Years","Female",0,
"Waikato Region","Not Elsewhere Included","0-4 Years","Male",717,
"Waikato Region","Not Elsewhere Included","0-4 Years","Female",741,
"Bay of Plenty Region","European Only","0-4 Years","Male",4074,
"Bay of Plenty Region","European Only","0-4 Years","Female",3879,
"Bay of Plenty Region","Maori Only","0-4 Years","Male",1746,
"Bay of Plenty Region","Maori Only","0-4 Years","Female",1620,
"Bay of Plenty Region","Pacific Peoples Only","0-4 Years","Male",171,
"Bay of Plenty Region","Pacific Peoples Only","0-4 Years","Female",132,
"Bay of Plenty Region","Asian Only","0-4 Years","Male",429,
"Bay of Plenty Region","Asian Only","0-4 Years","Female",354,
"Bay of Plenty Region","Middle Eastern/Latin American/African Only","0-4 Years","Male",27,
"Bay of Plenty Region","Middle Eastern/Latin American/African Only","0-4 Years","Female",15,
"Bay of Plenty Region","Other Ethnicity Only","0-4 Years","Male",105,
"Bay of Plenty Region","Other Ethnicity Only","0-4 Years","Female",99,
"Bay of Plenty Region","European/Maori","0-4 Years","Male",1728,
"Bay of Plenty Region","European/Maori","0-4 Years","Female",1647,
"Bay of Plenty Region","European/Pacific Peoples","0-4 Years","Male",75,
"Bay of Plenty Region","European/Pacific Peoples","0-4 Years","Female",114,
"Bay of Plenty Region","European/Asian","0-4 Years","Male",84,
"Bay of Plenty Region","European/Asian","0-4 Years","Female",72,
"Bay of Plenty Region","European/Middle Eastern/Latin American/African","0-4 Years","Male",24,
"Bay of Plenty Region","European/Middle Eastern/Latin American/African","0-4 Years","Female",21,
"Bay of Plenty Region","European/Other Ethnicity","0-4 Years","Male",3,
"Bay of Plenty Region","European/Other Ethnicity","0-4 Years","Female",9,
"Bay of Plenty Region","Maori/Pacific Peoples","0-4 Years","Male",165,
"Bay of Plenty Region","Maori/Pacific Peoples","0-4 Years","Female",180,
"Bay of Plenty Region","Maori/Asian","0-4 Years","Male",33,
"Bay of Plenty Region","Maori/Asian","0-4 Years","Female",27,
"Bay of Plenty Region","Maori/Middle Eastern/Latin American/African","0-4 Years","Male",3,
"Bay of Plenty Region","Maori/Middle Eastern/Latin American/African","0-4 Years","Female",6,
"Bay of Plenty Region","Maori/Other Ethnicity","0-4 Years","Male",3,
"Bay of Plenty Region","Maori/Other Ethnicity","0-4 Years","Female",3,
"Bay of Plenty Region","Pacific Peoples/Asian","0-4 Years","Male",3,
"Bay of Plenty Region","Pacific Peoples/Asian","0-4 Years","Female",3,
"Bay of Plenty Region","Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Bay of Plenty Region","Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Bay of Plenty Region","Pacific Peoples/Other Ethnicity","0-4 Years","Male",0,
"Bay of Plenty Region","Pacific Peoples/Other Ethnicity","0-4 Years","Female",0,
"Bay of Plenty Region","Asian/Middle Eastern/Latin American/African","0-4 Years","Male",3,
"Bay of Plenty Region","Asian/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Bay of Plenty Region","Asian/Other Ethnicity","0-4 Years","Male",3,
"Bay of Plenty Region","Asian/Other Ethnicity","0-4 Years","Female",3,
"Bay of Plenty Region","Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Bay of Plenty Region","Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",6,
"Bay of Plenty Region","European/Maori/Pacific Peoples","0-4 Years","Male",198,
"Bay of Plenty Region","European/Maori/Pacific Peoples","0-4 Years","Female",156,
"Bay of Plenty Region","European/Maori/Asian","0-4 Years","Male",48,
"Bay of Plenty Region","European/Maori/Asian","0-4 Years","Female",39,
"Bay of Plenty Region","European/Maori/Middle Eastern/Latin American/African","0-4 Years","Male",9,
"Bay of Plenty Region","European/Maori/Middle Eastern/Latin American/African","0-4 Years","Female",12,
"Bay of Plenty Region","European/Maori/Other Ethnicity","0-4 Years","Male",6,
"Bay of Plenty Region","European/Maori/Other Ethnicity","0-4 Years","Female",3,
"Bay of Plenty Region","European/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Bay of Plenty Region","European/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Bay of Plenty Region","Pacific Peoples/European/Asian","0-4 Years","Male",3,
"Bay of Plenty Region","Pacific Peoples/European/Asian","0-4 Years","Female",3,
"Bay of Plenty Region","Pacific Peoples/European/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Bay of Plenty Region","Pacific Peoples/European/Middle Eastern/Latin American/African","0-4 Years","Female",3,
"Bay of Plenty Region","Pacific Peoples/European/Other Ethnicity","0-4 Years","Male",0,
"Bay of Plenty Region","Pacific Peoples/European/Other Ethnicity","0-4 Years","Female",0,
"Bay of Plenty Region","Asian/Middle Eastern/Latin American/African/European","0-4 Years","Male",0,
"Bay of Plenty Region","Asian/Middle Eastern/Latin American/African/European","0-4 Years","Female",0,
"Bay of Plenty Region","Asian/European/Other Ethnicity","0-4 Years","Male",3,
"Bay of Plenty Region","Asian/European/Other Ethnicity","0-4 Years","Female",3,
"Bay of Plenty Region","Maori/Pacific Peoples/Asian","0-4 Years","Male",6,
"Bay of Plenty Region","Maori/Pacific Peoples/Asian","0-4 Years","Female",6,
"Bay of Plenty Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Bay of Plenty Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Bay of Plenty Region","Maori/Asian/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Bay of Plenty Region","Maori/Asian/Middle Eastern/Latin American/African","0-4 Years","Female",3,
"Bay of Plenty Region","Maori/Asian/Other Ethnicity","0-4 Years","Male",0,
"Bay of Plenty Region","Maori/Asian/Other Ethnicity","0-4 Years","Female",0,
"Bay of Plenty Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Bay of Plenty Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Bay of Plenty Region","Pacific Peoples/Maori/Other Ethnicity","0-4 Years","Male",3,
"Bay of Plenty Region","Pacific Peoples/Maori/Other Ethnicity","0-4 Years","Female",0,
"Bay of Plenty Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Bay of Plenty Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Bay of Plenty Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Male",0,
"Bay of Plenty Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","0-4 Years","Female",0,
"Bay of Plenty Region","Asian/Pacific Peoples/Other Ethnicity","0-4 Years","Male",0,
"Bay of Plenty Region","Asian/Pacific Peoples/Other Ethnicity","0-4 Years","Female",0,
"Bay of Plenty Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Male",0,
"Bay of Plenty Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","0-4 Years","Female",0,
"Bay of Plenty Region","Four ethnic groups","0-4 Years","Male",18,
"Bay of Plenty Region","Four ethnic groups","0-4 Years","Female",12,
"Bay of Plenty Region","Five ethnic groups","0-4 Years","Male",0,
"Bay of Plenty Region","Five ethnic groups","0-4 Years","Female",0,
"Bay of Plenty Region","Six ethnic groups","0-4 Years","Male",0,
"Bay of Plenty Region","Six ethnic groups","0-4 Years","Female",0,
"Bay of Plenty Region","Not Elsewhere Included","0-4 Years","Male",606,
"Bay of Plenty Region","Not Elsewhere Included","0-4 Years","Female",627,
"Gisborne Region","European Only","0-4 Years","Male",447,
"Gisborne Region","European Only","0-4 Years","Female",435,
"Gisborne Region","Maori Only","0-4 Years","Male",591,
"Gisborne Region","Maori Only","0-4 Years","Female",549,
"Gisborne Region","Pacific Peoples Only","0-4 Years","Male",36,
